Account_Age,Gender,User_Age,Link_Desc,Status_Count,Friend_Count,Location,Location_IP,Status
12,0,34,0,20370,2385,0,0,0
12,0,24,0,3131,381,0,0,0
12,0,59,0,4024,87,0,0,0
12,1,58,0,40586,622,0,0,0
12,0,59,0,2016,64,0,0,0
12,0,44,0,3603,179,0,0,0
12,1,28,0,1183,168,0,0,0
12,1,58,0,6194,1770,0,0,0
12,0,30,0,10962,958,0,0,0
12,0,26,0,10947,712,0,0,0
12,1,41,0,2754,218,0,0,0
12,1,58,0,26713,1177,0,0,0
12,1,56,0,4111,338,0,0,0
12,0,26,0,1441,203,0,0,0
12,0,30,0,1698,1930,0,0,0
12,1,37,0,402,78,0,0,0
12,0,30,0,16935,918,0,0,0
12,1,38,0,9437,891,0,0,0
12,1,55,0,3742,571,0,0,0
12,1,22,0,770,181,0,0,0
12,1,44,0,1430,371,0,0,0
11,1,30,0,6996,305,0,0,0
11,0,57,0,3284,1039,0,0,0
11,0,52,0,160,146,0,0,0
11,1,22,0,292,110,0,0,0
11,0,29,0,5876,647,0,0,0
11,1,53,0,7534,1096,0,0,0
11,1,55,0,1294,276,0,0,0
11,1,47,0,6340,419,0,0,0
11,1,39,0,5472,3873,0,0,0
11,0,57,0,22540,1125,0,0,0
11,1,51,0,732,338,0,0,0
11,0,32,0,38781,323,0,0,0
11,1,31,0,10451,323,0,0,0
11,1,35,0,2784,873,0,0,0
11,1,27,0,823,109,0,0,0
11,0,53,0,442,259,0,0,0
11,0,42,0,350,131,0,0,0
11,1,44,0,3694,1047,0,0,0
10,0,27,0,9686,196,0,0,0
10,0,37,0,16427,755,0,0,0
10,0,41,0,1006,121,0,0,0
10,1,25,0,1122,951,0,0,0
10,1,47,0,1386,267,0,0,0
10,1,29,0,18267,2003,0,0,0
10,0,55,0,15365,1505,0,0,0
10,0,36,0,2242,1446,0,0,0
10,1,45,0,4149,64,0,0,0
10,1,22,0,8384,299,0,0,0
10,0,58,0,612,259,0,0,0
10,0,46,0,660,407,0,0,0
10,0,57,0,5287,1846,0,0,0
10,0,20,0,2275,285,0,0,0
10,0,27,0,3551,174,0,0,0
10,1,58,0,282,36,0,0,0
10,1,41,0,493,80,0,0,0
10,1,29,0,1012,268,0,0,0
10,1,30,0,1706,257,0,0,0
10,0,23,0,103,66,0,0,0
10,1,53,0,189,178,0,0,0
10,1,57,0,3720,154,0,0,0
10,0,51,0,1566,295,0,0,0
10,1,57,0,1672,1089,0,0,0
